locationvar,Cardi B,jay z,drake,kanye west,21 savage
Iowa,6,5,78,9,2
District of Columbia,8,17,54,18,3
New York,13,15,52,18,2
Georgia,15,13,51,14,7
Louisiana,15,13,54,14,4
Mississippi,17,12,53,12,6
Rhode Island,13,12,54,17,4
Alabama,15,10,56,12,7
Delaware,16,14,51,16,3
Illinois,12,12,54,19,3
New Jersey,15,14,51,17,3
Maryland,16,15,49,16,4
Texas,15,10,55,16,4
California,13,10,54,20,3
Florida,15,12,53,16,4
North Carolina,15,12,52,15,6
Michigan,12,13,56,16,3
Pennsylvania,14,14,52,17,3
South Carolina,15,12,51,14,8
Connecticut,14,13,52,18,3
Nevada,15,12,52,18,3
Massachusetts,13,13,53,18,3
Arizona,14,11,53,18,4
Arkansas,17,9,55,13,6
Ohio,15,12,53,16,4
Tennessee,15,12,53,15,5
Indiana,14,10,54,17,5
Missouri,14,11,54,17,4
Virginia,13,15,51,17,4
Nebraska,12,9,60,16,3
Kentucky,13,11,56,16,4
Oklahoma,14,10,56,16,4
New Mexico,17,8,54,17,4
Hawaii,15,11,53,19,2
Colorado,13,11,55,17,4
Minnesota,13,11,56,17,3
Wisconsin,14,10,55,17,4
Kansas,12,12,56,16,4
West Virginia,14,11,55,16,4
Washington,12,11,53,20,4
North Dakota,12,8,60,17,3
South Dakota,11,8,60,17,4
Maine,12,10,55,19,4
New Hampshire,12,10,54,20,4
Vermont,12,11,53,21,3
Alaska,13,10,56,18,3
Oregon,11,11,54,21,3
Utah,14,10,53,20,3
Idaho,13,8,58,18,3
Wyoming,13,9,55,20,3
Montana,13,9,54,21,3